dim,n,K,rep,n_t,n_c,W_true,V_true,W_hat,W_se,V_hat,V_se,eps_band,n_band,share_pos,V_loo,W_dev,V_dev,n_varV,W_cover,V_cover
3,500,50,2,253,247,0.37796080233885754,0.573486328125,0.5760813168000158,0.06769866977886572,0.609619140625,0.07780466941109027,0.012168944976639005,52,0.609619140625,,0.1981205144611583,0.0361328125,3.0267832910845227,0.0,1.0
3,500,50,3,268,232,0.37796080233885754,0.573486328125,0.3684343734403484,0.06596490321151498,0.48779296875,0.061697783372842215,0.009627344798620997,26,0.48779296875,,-0.009526428898509132,-0.085693359375,1.9033082365610827,1.0,1.0
3,500,50,4,258,242,0.37796080233885754,0.573486328125,0.532390168443279,0.0669866947048651,0.57470703125,0.05218086982159293,0.011562403805094254,34,0.57470703125,,0.15442936610442148,0.001220703125,1.3614215876690139,0.0,1.0
3,500,50,5,253,247,0.37796080233885754,0.573486328125,0.41699470341159406,0.06408319050048922,0.60400390625,0.044466934831790435,0.009119172411406007,18,0.60400390625,,0.03903390107273652,0.030517578125,0.9886541466673486,1.0,1.0
3,500,50,6,260,240,0.37796080233885754,0.573486328125,0.4712121971220249,0.06886252331719092,0.62158203125,0.03887134542709482,0.010215899618727929,23,0.62158203125,,0.09325139478316735,0.048095703125,0.7554907476562627,1.0,1.0
3,500,50,7,240,260,0.37796080233885754,0.573486328125,0.4419741008189223,0.06565265266602101,0.5439453125,0.07167653524431787,0.010249030255658176,36,0.5439453125,,0.06401329848006476,-0.029541015625,2.568762852314971,1.0,1.0
3,500,50,8,247,253,0.37796080233885754,0.573486328125,0.4516772600591441,0.06640180449013466,0.54150390625,0.08443043429416827,0.01027678039004479,46,0.54150390625,,0.07371645772028657,-0.031982421875,3.5642491175509328,1.0,1.0
3,500,50,9,260,240,0.37796080233885754,0.573486328125,0.5629988678739766,0.07223794232075284,0.60595703125,0.05697347572906701,0.00998084533940572,27,0.60595703125,,0.18503806553511903,0.032470703125,1.6229884683252938,0.0,1.0
3,500,50,10,243,257,0.37796080233885754,0.573486328125,0.6077888573311306,0.07410403276002904,0.679931640625,0.07664782703079742,0.011234030490865701,31,0.679931640625,,0.2298280549922731,0.1064453125,2.93744469427152,0.0,1.0
3,500,50,11,265,235,0.37796080233885754,0.573486328125,0.5198338238641306,0.06764699483434287,0.54248046875,0.07552128163783771,0.012910504264652485,51,0.54248046875,,0.14187302152527304,-0.031005859375,2.851731990110802,0.0,1.0
3,500,50,12,250,250,0.37796080233885754,0.573486328125,0.5720843784261067,0.06542153122395519,0.557373046875,0.05221559955916044,0.013219332058556478,28,0.557373046875,,0.19412357608724917,-0.01611328125,1.363234418661298,0.0,1.0
3,500,50,13,258,242,0.37796080233885754,0.573486328125,0.46739079152468976,0.06778233059929967,0.553466796875,0.09085856034794476,0.010676250636793663,47,0.553466796875,,0.08942998918583223,-0.02001953125,4.12763899425056,1.0,1.0
3,500,50,14,224,276,0.37796080233885754,0.573486328125,0.5980402122435434,0.08001070474063215,0.687744140625,0.06384082285026774,0.010476457398076159,33,0.687744140625,,0.22007940990468589,0.1142578125,2.0378253310996333,0.0,1.0
3,500,50,15,239,261,0.37796080233885754,0.573486328125,0.4260331092559979,0.05957138727337448,0.587158203125,0.07547450669974412,0.009709306296440599,25,0.587158203125,,0.04807230691714037,0.013671875,2.84820058078486,1.0,1.0
3,500,50,16,254,246,0.37796080233885754,0.573486328125,0.5127213752823644,0.06987665293722584,0.6162109375,0.054845940707776486,0.009810754849179829,25,0.6162109375,,0.13476057294350685,0.042724609375,1.504038606060467,1.0,1.0
3,500,50,17,256,244,0.37796080233885754,0.573486328125,0.46088095024209874,0.06763795643612375,0.5,0.06477256547171718,0.011013536206764157,35,0.5,,0.0829201479032412,-0.073486328125,2.0977426188939443,1.0,1.0
3,500,50,18,247,253,0.37796080233885754,0.573486328125,0.4937633862072389,0.07312412267131267,0.572998046875,0.049373539882520884,0.012463071683244722,31,0.572998046875,,0.11580258386838138,-0.00048828125,1.21887322026544,1.0,1.0
