cell,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover
F1_cubic,15,0.04687213902070653,0.5,0.37763157361260263,0.17294702887612584,0.5302734375,0.023506418120783655,0.0038239619424983444,65,0.0541111039169935,0.0302734375,1.0,0.12607488985541931,0.0
F1_cubic,16,0.04687213902070653,0.5,0.37634509396832144,0.19551130975973402,0.578369140625,0.02547050622041591,0.003949587592119959,69,0.057381305243910816,0.078369140625,1.0,0.1486391707390275,0.0
F1_cubic,17,0.04687213902070653,0.5,0.388501551293836,0.12146059416420801,0.454345703125,0.021139010064044082,0.0037940803556185143,84,0.067209848346018,-0.045654296875,1.0,0.07458845514350149,0.0
F1_cubic,18,0.04687213902070653,0.5,0.3965195770667199,0.168099234237449,0.5150146484375,0.023079129962577088,0.0041872301222119135,69,0.05377096418277515,0.0150146484375,1.0,0.12122709521674246,0.0
F1_cubic,19,0.04687213902070653,0.5,0.36019091186581575,0.16485081255474496,0.5203857421875,0.023014718669268915,0.003927632752679528,76,0.062332420113552583,0.0203857421875,1.0,0.11797867353403843,0.0
F1_cubic,20,0.04687213902070653,0.5,0.3787217515193824,0.1557708093596623,0.5098876953125,0.022452966138880887,0.003976201047658753,54,0.04751147438957065,0.0098876953125,1.0,0.10889867033895578,0.0
F1_cubic,21,0.04687213902070653,0.5,0.43609653365052947,0.1830079805484921,0.5228271484375,0.02355233810007482,0.004445047182439305,81,0.06028116541745393,0.0228271484375,1.0,0.13613584152778557,0.0
F1_cubic,22,0.04687213902070653,0.5,0.36037180438561855,0.15671252605324168,0.5145263671875,0.023340533796579504,0.0036809522227924576,65,0.06407508595453956,0.0145263671875,1.0,0.10984038703253515,0.0
F1_cubic,23,0.04687213902070653,0.5,0.37646621536869473,0.14825133142677144,0.4970703125,0.022904535211549656,0.003990309384497806,50,0.04379857664051734,-0.0029296875,1.0,0.10137919240606491,0.0
F1_cubic,24,0.04687213902070653,0.5,0.3578204063145491,0.14839147438788372,0.51513671875,0.022286323904106693,0.0036963148059432427,66,0.062072061457757226,0.01513671875,1.0,0.1015193353671772,0.0
