variant,n,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_dev,W_cover,V_dev,V_cover
dense_K200,1000,19,50,1.0,1.4159840364150134,0.7050245034184454,0.53076171875,0.05425135145783852,0.015867289531408993,66,0.04410091893835959,0.3472031429080965,0.0,-0.0389862060546875,1.0
screen_full,1000,19,10,1.0,0.569168029630391,0.3977371772696728,0.5552978515625,0.05194519283145068,0.00827529936156435,53,0.047095871170728984,0.03991581675932393,1.0,-0.0144500732421875,1.0
screen_split,1000,19,10,1.0,0.8598355162374447,0.4306895561583251,0.4945068359375,0.060521561379875376,0.010904556728802877,63,0.04517892816877928,0.07286819564797625,1.0,-0.0752410888671875,1.0
oracle,1000,19,2,1.0,0.490990538519618,0.34428119355597586,0.556640625,0.04558668534425141,0.00817702945155777,87,0.10742875305592899,-0.01354016695437299,1.0,-0.0131072998046875,1.0
dense_K200,1000,20,50,1.0,1.5817713863165819,0.7602990168074427,0.5262451171875,0.056506720752393054,0.017503921123970406,66,0.037409655092212016,0.40247765629709387,0.0,-0.0435028076171875,1.0
screen_full,1000,20,10,1.0,0.6032274662612087,0.4988310464599443,0.5574951171875,0.051221724463337386,0.010105966572225383,57,0.036170236149498367,0.14100968594959545,0.0,-0.0122528076171875,1.0
screen_split,1000,20,4,1.0,0.7028335913615803,0.4887720963365364,0.6312255859375,0.07239525695442246,0.009733394650988079,54,0.0561032935020271,0.13095073582618755,1.0,0.0614776611328125,1.0
oracle,1000,20,2,1.0,0.36487261200765525,0.4662804378117136,0.5701904296875,0.04813530022300508,0.008695515753794467,61,0.053635945840650526,0.10845907730136473,0.0,0.0004425048828125,1.0
dense_K200,1000,21,50,1.0,1.4345436691835314,0.7517046008666789,0.5611572265625,0.05540147267762575,0.015650459931358506,59,0.03195071674346623,0.39388324035633004,0.0,-0.0085906982421875,1.0
screen_full,1000,21,10,1.0,0.529328586528314,0.46826910153549345,0.6268310546875,0.05252616207081628,0.007858636798529781,58,0.051787604088851726,0.1104477410251446,0.0,0.0570831298828125,1.0
screen_split,1000,21,5,1.0,0.7927914694336401,0.5011581310983753,0.5869140625,0.06780504498096274,0.010154100205819687,68,0.053860225873017725,0.1433367705880264,0.0,0.0171661376953125,1.0
oracle,1000,21,2,1.0,0.28942887927781713,0.3955193731859825,0.6202392578125,0.04872704292285254,0.0064975214866015716,65,0.07265823155216349,0.03769801267563366,1.0,0.0504913330078125,1.0
dense_K200,1000,22,50,1.0,1.3306898428341725,0.7763131120785416,0.61376953125,0.05981703570414099,0.014033018293760795,69,0.05404551221468428,0.41849175156819274,0.0,0.0440216064453125,1.0
screen_full,1000,22,10,1.0,0.48207899714456853,0.4629247087705848,0.609130859375,0.0466823958052015,0.007948348187522818,62,0.0510749095343266,0.10510334826023593,0.0,0.0393829345703125,1.0
screen_split,1000,22,10,1.0,0.7051187066133663,0.5198502175332291,0.6180419921875,0.07944467444525609,0.00911848352187394,55,0.059496751023027386,0.16202885702288028,0.0,0.0482940673828125,1.0
oracle,1000,22,2,1.0,0.36729372191397835,0.460679991644598,0.58349609375,0.04420897688390778,0.007885163565163637,49,0.04722756578867354,0.10285863113424915,0.0,0.0137481689453125,1.0
dense_K200,1000,23,50,1.0,1.3450501666781676,0.6879167839366642,0.553955078125,0.05374427532958618,0.01415182356841388,77,0.0433043113684035,0.33009542342631537,0.0,-0.0157928466796875,1.0
screen_full,1000,23,10,1.0,0.6283620575437057,0.4801164136490288,0.6009521484375,0.05429679185719895,0.008635437802723626,59,0.04393141663616448,0.12229505313867994,0.0,0.0312042236328125,1.0
screen_split,1000,23,5,1.0,0.8336549748988203,0.4150945805346816,0.5206298828125,0.07124301827917628,0.010927657461093903,75,0.059985042504678975,0.05727322002433277,1.0,-0.0491180419921875,1.0
oracle,1000,23,2,1.0,0.32268567529129133,0.4080784353380767,0.5970458984375,0.04998650628313998,0.0068732267973690185,44,0.042977472967296725,0.05025707482772784,1.0,0.0272979736328125,1.0
