dim,rep,V_true,V_rf,V_se,h_rmse_rf,h_rmse_gbm,V_gbm,V_dml,corr,V_rf_dev,V_rf_cover,V_gbm_dev,V_gbm_cover,V_dml_dev,V_dml_cover
10,31,0.5839996337890625,0.5831298828125,0.03287514522126876,0.5941931122271534,0.5839088127088525,0.5821533203125,0.5897448773197006,0.007591557007200559,-0.0008697509765625,1.0,-0.0018463134765625,1.0,0.0057452435306381,1.0
10,32,0.5839996337890625,0.5882568359375,0.034364811630114664,0.5855065622871788,0.6031057448414485,0.598388671875,0.5312319924106766,-0.06715667946432333,0.0042572021484375,1.0,0.0143890380859375,1.0,-0.052767641378385854,1.0
10,33,0.5839996337890625,0.5948486328125,0.029425690580121653,0.6178838869287884,0.5852693410109764,0.5972900390625,0.591365403938913,-0.005924635123586975,0.0108489990234375,1.0,0.0132904052734375,1.0,0.007365770149850515,1.0
10,34,0.5839996337890625,0.6173095703125,0.032572568114514186,0.5803079530625493,0.5842233769802311,0.6220703125,0.6003587209848801,-0.021711591515119935,0.0333099365234375,1.0,0.0380706787109375,1.0,0.01635908719581758,1.0
10,35,0.5839996337890625,0.594970703125,0.030369948344833097,0.5631378842990328,0.600884511365163,0.60693359375,0.652242169841911,0.045308576091911024,0.0109710693359375,1.0,0.0229339599609375,1.0,0.06824253605284847,0.0
10,36,0.5839996337890625,0.5950927734375,0.036605502519062624,0.5606395163324389,0.5742152196013869,0.58984375,0.497709477537431,-0.09213427246256897,0.0110931396484375,1.0,0.0058441162109375,1.0,-0.0862901562516315,0.0
10,37,0.5839996337890625,0.5811767578125,0.03421742782187503,0.6351343565924645,0.5787216410709867,0.590087890625,0.6115999288467029,0.021512038221702896,-0.0028228759765625,1.0,0.0060882568359375,1.0,0.02760029505764039,1.0
10,38,0.5839996337890625,0.625732421875,0.029974034619367262,0.6134683267336963,0.614057399597508,0.6156005859375,0.6077781222714553,-0.007822463666044645,0.0417327880859375,1.0,0.0316009521484375,1.0,0.023778488482392834,1.0
10,39,0.5839996337890625,0.5772705078125,0.039788464979018785,0.5948303495240782,0.5932548373354631,0.583251953125,0.6199138298828092,0.03666187675780916,-0.0067291259765625,1.0,-0.0007476806640625,1.0,0.035914196093746686,1.0
10,40,0.5839996337890625,0.6124267578125,0.03604931243020421,0.6319687521449184,0.5846352227265592,0.615966796875,0.6232683746745104,0.007301577799510319,0.0284271240234375,1.0,0.0319671630859375,1.0,0.03926874088544785,1.0
10,41,0.5839996337890625,0.5755615234375,0.032086565756418384,0.5716982643760595,0.594975541376052,0.5938720703125,0.6336723869293083,0.03980031661680823,-0.0084381103515625,1.0,0.0098724365234375,1.0,0.04967275314024577,1.0
10,42,0.5839996337890625,0.62060546875,0.041966738508740324,0.6326651818603085,0.569316467520907,0.6226806640625,0.6735982853259834,0.05091762126348347,0.0366058349609375,1.0,0.0386810302734375,1.0,0.08959865153692093,0.0
10,43,0.5839996337890625,0.591552734375,0.033255061173222335,0.5674701910246219,0.5780489772347008,0.6158447265625,0.6603395045201768,0.04449477795767681,0.0075531005859375,1.0,0.0318450927734375,1.0,0.07633987073111426,0.0
10,44,0.5839996337890625,0.5892333984375,0.027965301833185872,0.5776667510204353,0.5866812562860163,0.614013671875,0.6610012914405904,0.04698761956559038,0.0052337646484375,1.0,0.0300140380859375,1.0,0.07700165765152789,0.0
10,45,0.5839996337890625,0.5872802734375,0.04090751605584975,0.5673120463058412,0.560376186037374,0.6055908203125,0.5649446444906503,-0.04064617582184976,0.0032806396484375,1.0,0.0215911865234375,1.0,-0.019054989298412206,1.0
10,46,0.5839996337890625,0.6116943359375,0.028786383918823783,0.5582219858714845,0.5818504839709356,0.60888671875,0.5758192819283382,-0.03306743682166182,0.0276947021484375,1.0,0.0248870849609375,1.0,-0.0081803518607243,1.0
10,47,0.5839996337890625,0.5667724609375,0.03466083907663768,0.527069062344521,0.5372682436185958,0.57958984375,0.5872123192863201,0.007622475536320136,-0.0172271728515625,1.0,-0.0044097900390625,1.0,0.003212685497257617,1.0
10,48,0.5839996337890625,0.589111328125,0.035785511904845926,0.6083268314591638,0.5957191817825063,0.6046142578125,0.5508237563237323,-0.053790501488767746,0.0051116943359375,1.0,0.0206146240234375,1.0,-0.03317587746533024,1.0
