dgp,dim,n,K,rep,W_true,V_true,W_ss,V_ss,W_loo,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_hat_dev,W_hat_cover,W_ss_dev,W_ss_cover,W_loo_dev,W_loo_cover,V_hat_dev,V_hat_cover,V_ss_dev,V_ss_cover
dense,10,4000,200,46,0.34094618144048716,0.5839996337890625,0.36346889399777166,0.58869987722669,0.3734490760143786,0.5712658669654874,0.44342322005980306,0.623046875,0.026301473069250767,0.00834986295813905,59,0.032111759976709967,0.1024770386193159,0.0,0.022522712557284497,1.0,0.03250289457389144,1.0,0.0390472412109375,1.0,0.004700243437627538,1.0
dense,10,4000,200,47,0.34094618144048716,0.5839996337890625,0.2807397897180625,0.6269592948355904,0.27895757904987584,0.586689091861973,0.3593442758134968,0.5408935546875,0.02540387640115703,0.008282006601022619,73,0.0351707433470728,0.018398094373009655,1.0,-0.060206391722424646,0.0,-0.061988602390611325,0.0,-0.0431060791015625,1.0,0.04295966104652793,1.0
dense,10,4000,200,48,0.34094618144048716,0.5839996337890625,0.3355344876963451,0.7079768276039632,0.35503807260244136,0.5281846980216887,0.43029492792861035,0.61767578125,0.02777221783112358,0.008180871704554489,59,0.036475063366027675,0.08934874648812319,0.0,-0.0054116937441420765,1.0,0.014091891161954195,1.0,0.0336761474609375,1.0,0.12397719381490069,0.0
dense,10,4000,200,49,0.34094618144048716,0.5839996337890625,0.31978237814351934,0.4276083368371938,0.33290531500310866,0.5208928066357429,0.4058590487440073,0.5972900390625,0.025985176366298393,0.00810606342184856,62,0.03570624143996544,0.06491286730352014,0.0,-0.02116380329696782,1.0,-0.008040866437378502,1.0,0.0132904052734375,1.0,-0.1563912969518687,0.0
dense,10,4000,200,50,0.34094618144048716,0.5839996337890625,0.3107683138419316,0.6400818462132243,0.3001452924769541,0.5482568666303317,0.3783949557869206,0.567138671875,0.02471910168459334,0.007853708333190356,57,0.0320295305309482,0.037448774346433455,1.0,-0.030177867598555563,1.0,-0.040800888963533066,1.0,-0.0168609619140625,1.0,0.05608221242416178,1.0
dense,10,4000,200,51,0.34094618144048716,0.5839996337890625,0.35899263001825465,0.7794564094074491,0.33655512658663234,0.569221936882846,0.4070590378905062,0.613037109375,0.026304292660957393,0.008029070500054455,62,0.032538465623420894,0.06611285645001902,0.0,0.018046448577767493,1.0,-0.0043910548538548255,1.0,0.0290374755859375,1.0,0.1954567756183866,0.0
dense,10,4000,200,52,0.34094618144048716,0.5839996337890625,0.2898533665540059,0.5781277456981605,0.29464504231326927,0.5165073865958241,0.3720347379805326,0.5865478515625,0.026016009392551147,0.0078486302627078,63,0.036793823515242886,0.031088556540045442,1.0,-0.051092814886481264,0.0,-0.046301139127217894,1.0,0.0025482177734375,1.0,-0.005871888090902,1.0
dense,10,4000,200,53,0.34094618144048716,0.5839996337890625,0.33173850639468133,0.6528774587167971,0.3263788752660521,0.6051128342174256,0.40553366192050244,0.611572265625,0.026895664936785954,0.008185858242544336,66,0.0354932708631098,0.06458748048001528,0.0,-0.00920767504580583,1.0,-0.01456730617443508,1.0,0.0275726318359375,1.0,0.06887782492773464,1.0
dense,10,4000,200,54,0.34094618144048716,0.5839996337890625,0.38795779345208536,0.5263144083465862,0.35237217300589363,0.5901683517704184,0.4181619985637792,0.5665283203125,0.025057302634092768,0.00903309186745757,57,0.03018521110280869,0.07721581712329206,0.0,0.0470116120115982,1.0,0.011425991565406468,1.0,-0.0174713134765625,1.0,-0.05768522544247634,1.0
dense,10,4000,200,55,0.34094618144048716,0.5839996337890625,0.3392290380182841,0.6400567384084278,0.3120952509238071,0.617077547194189,0.3875535966441163,0.569091796875,0.0258498513187131,0.00860662960162018,63,0.03176736365902196,0.046607415203629154,1.0,-0.0017171434222030824,1.0,-0.028850930516680084,1.0,-0.0149078369140625,1.0,0.056057104619365306,1.0
