variant,tau_scale,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_loo,W_true,V_true,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover
screen_split,1.0,10,3,1.0,0.31821617970867355,0.21627856658794986,0.6676025390625,0.034833696385594005,0.003785370578808967,73,0.08375719425640712,0.15792915032342048,0.11927378683678294,0.5697479248046875,0.0978546142578125,1.0,0.09700477975116692,0.0,0.038655363486637534,1.0
screen_full,1.0,11,7,1.0,0.28703017770320943,0.17151323957156864,0.5379638671875,0.023102707333316996,0.0038125155618765278,71,0.05508908974808482,0.1390991048932728,0.11927378683678294,0.5697479248046875,-0.0317840576171875,1.0,0.052239452734785696,0.0,0.01982531805648985,1.0
screen_split,1.0,11,6,1.0,0.38871760061386446,0.18593548692203565,0.523681640625,0.03410769303493147,0.004894120423089889,65,0.055612424300632596,0.12707530549526957,0.11927378683678294,0.5697479248046875,-0.0460662841796875,1.0,0.06666170008525271,1.0,0.007801518658486634,1.0
screen_full,1.0,12,2,1.0,0.1582706962653979,0.09629603617171889,0.515869140625,0.021670482903331092,0.0023951475125312052,78,0.10303651304276414,0.07662820676864658,0.11927378683678294,0.5697479248046875,-0.0538787841796875,1.0,-0.02297775066506405,1.0,-0.04264558006813636,0.0
screen_split,1.0,12,10,1.0,0.3620226213369904,0.19280373266673712,0.586181640625,0.0374961913040378,0.003842652428067414,68,0.07608845313010114,0.12612938253936634,0.11927378683678294,0.5697479248046875,0.0164337158203125,1.0,0.07352994582995417,0.0,0.0068555957025834,1.0
screen_full,1.0,13,4,1.0,0.23983155282949295,0.15525934680154946,0.508056640625,0.021696810887759495,0.003315746293884914,52,0.04811232579172766,0.12284775116649099,0.11927378683678294,0.5697479248046875,-0.0616912841796875,1.0,0.03598555996476652,1.0,0.0035739643297080514,1.0
screen_split,1.0,13,5,1.0,0.40376360541670064,0.183987538098543,0.4873046875,0.030272975110656342,0.004399617963947774,58,0.05610781907837872,0.13228058924009187,0.11927378683678294,0.5697479248046875,-0.0824432373046875,1.0,0.06471375126176007,0.0,0.013006802403308926,1.0
screen_full,1.0,14,7,1.0,0.21382018791786817,0.15793965851139583,0.549072265625,0.024909057805359125,0.0031682920275095047,58,0.053227588845484744,0.12016760034251048,0.11927378683678294,0.5697479248046875,-0.0206756591796875,1.0,0.038665871674612884,1.0,0.0008938135057275365,1.0
screen_split,1.0,14,5,1.0,0.2821853407948209,0.1453010934768898,0.4501953125,0.030945143354988516,0.0037816039913369575,65,0.08490972940848615,0.07673103297075838,0.11927378683678294,0.5697479248046875,-0.1195526123046875,1.0,0.026027306640106856,1.0,-0.04254275386602456,1.0
screen_full,1.0,15,8,1.0,0.2473466959028493,0.17010986783219112,0.614990234375,0.025864225048429397,0.0031261226903396616,54,0.05607293312121413,0.13596931161139966,0.11927378683678294,0.5697479248046875,0.0452423095703125,1.0,0.05083608099540818,0.0,0.01669552477461672,1.0
screen_split,1.0,15,3,1.0,0.40546316610306604,0.1924472039354047,0.5968017578125,0.03162807611817656,0.004107406156744796,68,0.0653095403490832,0.14695195606974776,0.11927378683678294,0.5697479248046875,0.0270538330078125,1.0,0.07317341709862177,0.0,0.027678169232964817,1.0
screen_full,1.0,16,8,1.0,0.28671001421477876,0.15956230385126158,0.5811767578125,0.025012609472400946,0.003195052167660709,68,0.06617748541785563,0.11812476979193878,0.11927378683678294,0.5697479248046875,0.0114288330078125,1.0,0.040288517014478636,1.0,-0.0011490170448441583,1.0
screen_split,1.0,16,2,1.0,0.20841668065127347,0.1418501521384709,0.6376953125,0.034850792917209134,0.002735563363381262,103,0.22474123776633348,0.0988145128332433,0.11927378683678294,0.5697479248046875,0.0679473876953125,1.0,0.022576365301687967,1.0,-0.02045927400353964,1.0
screen_full,1.0,17,8,1.0,0.3154058704221427,0.19881359337502102,0.6019287109375,0.02551956100131999,0.0038623727826184923,50,0.044289251792526775,0.16825505199583188,0.11927378683678294,0.5697479248046875,0.0321807861328125,1.0,0.07953980653823808,0.0,0.04898126515904894,1.0
