cell,rep,truth,plug,loo,se_plug,se_aug,h_rmse,plug_dev,loo_dev,plug_cover,loo_cover_plugse,loo_cover_augse
V_share81,74,0.8134002685546875,0.7996826171875,0.8680906923700015,0.02918046609992764,0.029371236767744283,0.6384956206918824,-0.0137176513671875,0.05469042381531397,1.0,1.0,1.0
V_share81,75,0.8134002685546875,0.781982421875,0.7642661369041204,0.030599491541919464,0.03076265102818614,0.5752058828598072,-0.0314178466796875,-0.049134131650567126,1.0,1.0,1.0
V_share81,76,0.8134002685546875,0.8013916015625,0.9362578473096281,0.030385085999825968,0.030731350471985244,0.6071156272941398,-0.0120086669921875,0.12285757875494063,1.0,0.0,0.0
V_share81,77,0.8134002685546875,0.7474365234375,0.716931936811286,0.033576326495869266,0.033703303482383484,0.5915430185339474,-0.0659637451171875,-0.09646833174340153,0.0,0.0,0.0
V_share81,78,0.8134002685546875,0.7952880859375,0.8661158865510857,0.038248566538211175,0.03841110641350377,0.6897067616896098,-0.0181121826171875,0.052715617996398234,1.0,1.0,1.0
V_share81,79,0.8134002685546875,0.7689208984375,0.9815218657026378,0.028496492120424745,0.029070538432822507,0.5994063362113876,-0.0444793701171875,0.16812159714795027,1.0,0.0,0.0
V_share81,80,0.8134002685546875,0.7294921875,0.7649657548062093,0.03264989407592857,0.032759813321577395,0.6533072518894415,-0.0839080810546875,-0.04843451374847818,0.0,1.0,1.0
V_share81,81,0.8134002685546875,0.7596435546875,0.7013132044019158,0.0330338759290653,0.033215566455783975,0.6203479459969408,-0.0537567138671875,-0.1120870641527717,1.0,0.0,0.0
V_share81,82,0.8134002685546875,0.771484375,0.9834080573417472,0.034845389962648014,0.03535484529614735,0.5879577719471952,-0.0419158935546875,0.1700077887870597,1.0,0.0,0.0
V_share81,83,0.8134002685546875,0.752685546875,0.5013021845496968,0.028054158915300564,0.02873723236752953,0.5852669157888537,-0.0607147216796875,-0.31209808400499073,0.0,0.0,0.0
V_share81,84,0.8134002685546875,0.76416015625,0.7928563269114524,0.03348794653051428,0.03360765765127388,0.6244319446589852,-0.0492401123046875,-0.020543941643235142,1.0,1.0,1.0
V_share81,85,0.8134002685546875,0.745849609375,0.5397393637443749,0.034794698526830765,0.035242316814415524,0.6643714231279392,-0.0675506591796875,-0.2736609048103126,1.0,0.0,0.0
