label,n,K,dim,W_hat,W_se,V_hat,V_se,h_rmse,eps_band,n_band,rep,W_true,V_true,dgp,feat_q,gamma,W_dev,V_dev,n_varV,W_cover,V_cover
A_dense_d10_n1000_K50,1000,50,10,0.4010428993905224,0.05700565893267406,0.603271484375,0.049899736623667826,0.6079896300710541,0.007730055554675254,61,54,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.06009671795003524,0.0192718505859375,2.489983715111416,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.46595830484457795,0.05619758090861599,0.5770263671875,0.04304314347374007,0.667025444382092,0.0092296899728233,62,55,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1250121234040908,-0.0069732666015625,1.8527122001009722,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.5012305550146721,0.057188915116168845,0.62060546875,0.03766591037573028,0.6776210959262353,0.009685517331550587,58,56,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.1602843735741849,0.0366058349609375,1.418720804432546,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.34411331651891275,0.05341740815338708,0.5452880859375,0.05629900062696381,0.5794119193617979,0.007990466552870865,67,57,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.003167135078425587,-0.0387115478515625,3.1695774715948715,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.3578733926593025,0.05131429684863442,0.5135498046875,0.05007837237263768,0.6406105934859602,0.00926913890599039,64,58,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.016927211218815352,-0.0704498291015625,2.507843379492561,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.3616294411608261,0.05235215904363041,0.5545654296875,0.05810566278221222,0.5849930051411266,0.00846268119992972,73,59,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.020683259720338965,-0.0294342041015625,3.3762680473601625,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4316786407610071,0.05777917026565994,0.6375732421875,0.05796907401231596,0.6986295747386955,0.007651498712425134,67,60,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.09073245932051993,0.0535736083984375,3.360413541845366,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.42771005322239747,0.05690405464251921,0.6199951171875,0.0467579569397121,0.6714630987497093,0.008630410940419771,58,61,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.0867638717819103,0.0359954833984375,2.186306537175971,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4271291782754269,0.05601618931945166,0.6253662109375,0.053740140341100695,0.5428850167880687,0.007711501588419884,62,62,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.08618299683493974,0.0413665771484375,2.8880026838811985,1.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.4684913501565019,0.056400257412783546,0.5955810546875,0.04218577407387834,0.671803417161807,0.008900006551185833,54,63,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.12754516871601473,0.0115814208984375,1.7796395342123061,0.0,1.0
A_dense_d10_n1000_K50,1000,50,10,0.5601090310404002,0.05930224541592628,0.6495361328125,0.046003567427989604,0.7191915475245556,0.009375668804974131,65,64,0.34094618144048716,0.5839996337890625,dense,-1,3.0,0.21916284959991306,0.0655364990234375,2.116328216101586,0.0,1.0
