p,n,K,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_loo,W_loo,V_hat_dev,V_hat_cover,V_loo_dev,V_loo_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover,V_sqerr_plug,V_sqerr_loo
1.6,1000,80,35,0.22573558700716836,0.5,0.32788824547070744,0.2931053717641946,0.528076171875,0.047025467213550165,0.005866381341083947,46,0.04640375138685219,0.4931703610576326,0.2662962276175803,0.028076171875,1.0,-0.0068296389423673776,1.0,0.06736978475702624,1.0,0.04056064061041195,1.0,0.000788271427154541,4.6643968083100995e-05
1.6,1000,80,36,0.22573558700716836,0.5,0.3264292528624456,0.33324333160465547,0.518310546875,0.04443911252800936,0.0054782784663132715,115,0.18564128269606056,0.31169565809773275,0.28396767810828977,0.018310546875,1.0,-0.18830434190226725,1.0,0.1075077445974871,0.0,0.0582320911011214,1.0,0.00033527612686157227,0.03545852517924596
1.6,1000,80,37,0.22573558700716836,0.5,0.3447988158410633,0.3030874929274686,0.5770263671875,0.04607833754278012,0.005467349147976127,41,0.046676407203912036,0.5260090684931648,0.2738048727981976,0.0770263671875,1.0,0.026009068493164755,1.0,0.07735190592030025,1.0,0.04806928579102923,1.0,0.005933061242103577,0.0006764716438821355
1.6,1000,80,38,0.22573558700716836,0.5,0.44574705444922036,0.3582742613129746,0.556640625,0.045779520164180604,0.006834365103155988,49,0.04173113437966602,0.5395081679026449,0.32834446496317166,0.056640625,1.0,0.039508167902644886,1.0,0.1325386743058062,0.0,0.10260887795600329,0.0,0.003208160400390625,0.0015608953310235797
1.6,1000,80,39,0.22573558700716836,0.5,0.3621017389802123,0.2568309591692275,0.4654541015625,0.04307469261165155,0.005531180685586346,80,0.08879868760116066,0.404541711290008,0.2071026616306432,-0.0345458984375,1.0,-0.09545828870999201,1.0,0.031095372162059126,1.0,-0.018632925376525167,1.0,0.001193419098854065,0.009112284883440189
1.6,1000,80,40,0.22573558700716836,0.5,0.44169615178816274,0.19214234871746239,0.4022216796875,0.03484404102175276,0.005522355449021295,40,0.038254810220639854,0.38864706197342164,0.16573740029151546,-0.0977783203125,0.0,-0.11135293802657836,0.0,-0.03359323828970598,1.0,-0.05999818671565291,1.0,0.00956059992313385,0.012399476807151002
1.6,1000,80,41,0.22573558700716836,0.5,0.34326801658073314,0.27469104714681103,0.5791015625,0.046452589046984176,0.005200390497125799,65,0.07385311611403231,0.530865436701896,0.23606631420716753,0.0791015625,1.0,0.03086543670189601,1.0,0.048955460139642665,1.0,0.010330727199999168,1.0,0.006257057189941406,0.0009526751827987492
1.6,1000,80,42,0.22573558700716836,0.5,0.41829339989569553,0.2730140009982899,0.4656982421875,0.043731488293226546,0.0060024829519173505,56,0.08532143162963865,0.4565507162549682,0.23210361393293483,-0.0343017578125,1.0,-0.04344928374503182,1.0,0.04727841399112151,1.0,0.006368026925766462,1.0,0.0011766105890274048,0.0018878402579562863
1.6,1000,80,43,0.22573558700716836,0.5,0.3885294934148986,0.16248543020876438,0.453857421875,0.04224832427013936,0.0041293693329853805,58,0.08098143434539783,0.5769975155359662,0.12054130707013327,-0.046142578125,1.0,0.07699751553596623,1.0,-0.06325015679840398,1.0,-0.10519427993703509,0.0,0.0021291375160217285,0.005928617398711361
1.6,1000,80,44,0.22573558700716836,0.5,0.3194540013345354,0.26662619840356483,0.4971923828125,0.043141656907859864,0.005614146836326919,27,0.03209082724728803,0.4455529919445773,0.24628429850149602,-0.0028076171875,1.0,-0.054447008055422685,1.0,0.040890611396396465,1.0,0.02054871149432766,1.0,7.88271427154541e-06,0.002964476686187263
