shift,n,rep,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_loo,V_hat_dev,V_hat_cover,V_loo_dev,V_loo_cover
-0.55,4000,57,0.8134002685546875,0.6202932380816113,0.7356277327034605,0.77734375,0.031877299356244226,0.008464208898945407,44,0.029867423109691496,0.9184508759233048,-0.0360565185546875,1.0,0.10505060736861727,0.0
-0.55,4000,58,0.8134002685546875,0.603001429001014,0.7082317806418938,0.76611328125,0.03205179958059995,0.008141901881692287,54,0.0358970279687441,0.6158806549138011,-0.0472869873046875,1.0,-0.19751961364088644,0.0
-0.55,4000,59,0.8134002685546875,0.6382448486489813,0.7679774678040252,0.7529296875,0.03142568319023405,0.009160889362014521,41,0.02489930673941967,0.5554857821789998,-0.0604705810546875,0.0,-0.2579144863756877,0.0
-0.55,4000,60,0.8134002685546875,0.5595606940016041,0.6969057462088792,0.768310546875,0.03297864753345334,0.008007386212680974,60,0.04234596675083332,0.6693867044176477,-0.0450897216796875,1.0,-0.1440135641370398,0.0
-0.55,4000,61,0.8134002685546875,0.6124208311678132,0.7393252002803337,0.7794189453125,0.03177907769515548,0.008243807804585033,45,0.02890821063049201,0.928116552648522,-0.0339813232421875,1.0,0.1147162840938345,0.0
-0.55,4000,62,0.8134002685546875,0.60320628547159,0.7451035483191077,0.7557373046875,0.032238025347443355,0.008851726722805433,44,0.027381388302107398,0.8796363771193048,-0.0576629638671875,0.0,0.06623610856461726,0.0
-0.55,4000,63,0.8134002685546875,0.6105117531647437,0.6589545542526908,0.7271728515625,0.030448118076420977,0.008572252170059105,52,0.03104068782657135,0.8365260819435422,-0.0862274169921875,0.0,0.023125813388854666,1.0
-0.55,4000,64,0.8134002685546875,0.6235695436097205,0.6861493334505879,0.7525634765625,0.03199459978310197,0.008357461749901788,53,0.03444085244805309,0.6479752743465104,-0.0608367919921875,1.0,-0.16542499420817713,0.0
-0.55,4000,65,0.8134002685546875,0.5444351366831348,0.6990096826621277,0.76513671875,0.03257741656524661,0.008112211589377302,49,0.034838001244788634,0.7598663480561325,-0.0482635498046875,1.0,-0.05353392049855499,1.0
-0.55,4000,66,0.8134002685546875,0.5925778315113027,0.7331491224438142,0.758056640625,0.033211585891728734,0.00875371127345887,55,0.03495396045896799,0.6352761580614359,-0.0553436279296875,1.0,-0.1781241104932516,0.0
-0.55,4000,67,0.8134002685546875,0.641345233626901,0.7190524770834581,0.7431640625,0.03126822551425722,0.009068763547859494,53,0.031814354303525555,0.6020755222715225,-0.0702362060546875,0.0,-0.211324746283165,0.0
-0.55,4000,68,0.8134002685546875,0.603022728867688,0.7866701821185905,0.8104248046875,0.03336620753863515,0.0080861609078005,33,0.02776623028543871,1.0424006963614671,-0.0029754638671875,1.0,0.22900042780677965,0.0
-0.55,4000,69,0.8134002685546875,0.579221253576285,0.7530889293730418,0.7567138671875,0.030041962172548408,0.009001184742177737,60,0.03440680767880152,0.9436467282560876,-0.0566864013671875,1.0,0.13024645970140014,0.0
-0.55,4000,70,0.8134002685546875,0.5723429439229923,0.7126094087947161,0.7462158203125,0.032097193665350236,0.008793719215070469,54,0.03396493997815465,0.8833289367811088,-0.0671844482421875,0.0,0.0699286682264213,0.0
-0.55,4000,71,0.8134002685546875,0.5488698592840029,0.7114916530948772,0.7760009765625,0.031869553792639525,0.008115292156018993,45,0.03201586816606723,0.8331303246051462,-0.0373992919921875,1.0,0.019730056050458744,1.0
-0.55,4000,72,0.8134002685546875,0.5858309743543264,0.7649626039418908,0.8148193359375,0.032637267042654,0.007759004964788824,44,0.03284951410347824,0.8544535798041172,0.0014190673828125,1.0,0.04105331124942968,1.0
-0.55,4000,73,0.8134002685546875,0.5920594415560807,0.7508120469682793,0.77734375,0.03210757837926572,0.00845890599158259,61,0.039657197614388726,0.7745234122421779,-0.0360565185546875,1.0,-0.03887685631250959,1.0
-0.55,4000,74,0.8134002685546875,0.6237712339654089,0.721256605547292,0.7557373046875,0.0304274441162121,0.008616015935889626,42,0.027057745547196695,0.8858058288574109,-0.0576629638671875,0.0,0.07240556030272338,0.0
-0.55,4000,75,0.8134002685546875,0.6183078926381791,0.7193513787936537,0.7630615234375,0.031956386195609435,0.008387537836904295,63,0.03635209753906245,0.6814017403381658,-0.0503387451171875,1.0,-0.1319985282165217,0.0
-0.55,4000,76,0.8134002685546875,0.6011150750426539,0.6845135615181275,0.73486328125,0.031120084068015152,0.008637962335412343,52,0.03418950968497718,0.7425083434761164,-0.0785369873046875,0.0,-0.07089192507857112,0.0
-0.55,4000,77,0.8134002685546875,0.5896840424282604,0.7336433383441415,0.77734375,0.03224013695114305,0.008313647170632628,45,0.02994836807709758,0.9716519229632784,-0.0360565185546875,1.0,0.1582516544085909,0.0
-0.55,4000,78,0.8134002685546875,0.6125036618001649,0.7279208548017588,0.7568359375,0.03170975232477494,0.008796151858008687,56,0.034546066140011183,0.6390471214643394,-0.0565643310546875,1.0,-0.1743531470903481,0.0
-0.55,4000,79,0.8134002685546875,0.5814533892832148,0.7296709891117805,0.7626953125,0.032001199013248584,0.008662499059848373,50,0.030267407521477274,0.8346889591125275,-0.0507049560546875,1.0,0.021288690557839995,1.0
