cell,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_loo,p_min,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover
tanh,32,0.33960013695911856,0.58599853515625,0.6638426100892583,0.4013173112081211,0.5738525390625,0.02977463868428301,0.008388862810823058,54,0.03569499135219486,0.3000104083644548,0.18797217938021216,-0.01214599609375,1.0,0.06171717424900253,0.0,-0.03958972859466375,1.0
tanh,33,0.33960013695911856,0.58599853515625,0.7213794037971978,0.4505227445911572,0.5863037109375,0.030198684308425202,0.00932320367085325,76,0.04116806705046937,0.34945135405173805,0.24316727508338692,0.00030517578125,1.0,0.11092260763203865,0.0,0.00985121709261949,1.0
tanh,34,0.33960013695911856,0.58599853515625,0.6694092612753756,0.4151725756274585,0.587646484375,0.029135902645629305,0.00862546255696503,69,0.038209669781891414,0.3216670672144319,0.23141341949413125,0.00164794921875,1.0,0.07557243866833996,0.0,-0.01793306974468667,1.0
tanh,35,0.33960013695911856,0.58599853515625,0.6519469141839772,0.43763381293213005,0.595458984375,0.028975816953847048,0.008532499949353609,72,0.042399936557585845,0.34396599626725693,0.24828334491445903,0.00946044921875,1.0,0.09803367597301149,0.0,0.004365859308138376,1.0
tanh,36,0.33960013695911856,0.58599853515625,0.6576500889431902,0.4685688319188359,0.6007080078125,0.02957746085638043,0.009121780280400305,67,0.03648162500255009,0.3776650584842465,0.21359685853698218,0.01470947265625,1.0,0.12896869495971736,0.0,0.038064921525127915,1.0
tanh,37,0.33960013695911856,0.58599853515625,0.7854509368405571,0.469046452332825,0.589111328125,0.029276085035049013,0.010360965598586059,56,0.02840288168238,0.38600390434744236,0.23522168055334225,0.00311279296875,1.0,0.12944631537370643,0.0,0.0464037673883238,1.0
tanh,38,0.33960013695911856,0.58599853515625,0.6916622570521008,0.4622580827026333,0.62109375,0.03033901689897688,0.008819770356938057,69,0.045084847877053184,0.3636061185808587,0.2074398454909053,0.03509521484375,1.0,0.12265794574351474,0.0,0.024005981621740113,1.0
tanh,39,0.33960013695911856,0.58599853515625,0.6603889363155339,0.45624969791971803,0.5802001953125,0.029497734917968924,0.009230613231035531,57,0.03313535053056955,0.37037957982823116,0.2204882766139448,-0.00579833984375,1.0,0.11664956096059947,0.0,0.030779442869112605,1.0
tanh,40,0.33960013695911856,0.58599853515625,0.6468278058182024,0.4226180200369873,0.617919921875,0.03016235852652059,0.0077809555048515625,70,0.04365132624948939,0.32740898874700186,0.23006390440153113,0.03192138671875,1.0,0.08301788307786873,0.0,-0.012191148212116698,1.0
tanh,41,0.33960013695911856,0.58599853515625,0.6084241991228482,0.39745020057580466,0.6099853515625,0.030071654858534563,0.0075995844627710675,53,0.03818450679632834,0.2983072753571441,0.1967944903838048,0.02398681640625,1.0,0.0578500636166861,1.0,-0.041292861601974484,1.0
tanh,42,0.33960013695911856,0.58599853515625,0.6168130283856489,0.4402445982181497,0.6138916015625,0.0304343785735061,0.008059546776293443,59,0.036357655736208014,0.3451420332615035,0.20970489005897147,0.02789306640625,1.0,0.10064446125903115,0.0,0.005541896302384941,1.0
tanh,43,0.33960013695911856,0.58599853515625,0.6544742300721079,0.4181072010765223,0.5604248046875,0.02897510600177035,0.009212565383019783,62,0.03292575687122374,0.3269817617282781,0.19086905435636015,-0.02557373046875,1.0,0.07850706411740371,0.0,-0.012618375230840473,1.0
tanh,44,0.33960013695911856,0.58599853515625,0.7381125211679609,0.4655510705116154,0.5767822265625,0.0293963052678913,0.010178803965734798,72,0.03438046429272755,0.3703600155455733,0.21293468093311702,-0.00921630859375,1.0,0.1259509335524968,0.0,0.030759878586454736,1.0
tanh,45,0.33960013695911856,0.58599853515625,0.6314919453710014,0.3801844716123729,0.57763671875,0.029911132150989155,0.008035025291463556,62,0.04085999261591741,0.276476842690033,0.2319194723397429,-0.00836181640625,1.0,0.04058433465325434,1.0,-0.06312329426908558,0.0
tanh,46,0.33960013695911856,0.58599853515625,1.087681462407642,0.45421624182149944,0.59375,0.031329167963277976,0.012308589144844046,98,0.03639128761237828,0.36153898676406115,0.2269278728625242,0.00775146484375,1.0,0.11461610486238089,0.0,0.021938849804942595,1.0
tanh,47,0.33960013695911856,0.58599853515625,0.6307651595176449,0.4377263333322509,0.5972900390625,0.029922283940918754,0.008666653381615996,63,0.034854469728627796,0.3409026798798196,0.2283533446511912,0.01129150390625,1.0,0.09812619637313236,0.0,0.001302542920701033,1.0
tanh,48,0.33960013695911856,0.58599853515625,0.8921735294825209,0.5064552029511564,0.614501953125,0.030667264514577658,0.010894574883595845,63,0.03130035488326435,0.42153903250643693,0.1914601384286748,0.02850341796875,1.0,0.16685506599203787,0.0,0.08193889554731837,0.0
tanh,49,0.33960013695911856,0.58599853515625,0.720998434251699,0.4854739585986544,0.6221923828125,0.030966800150608046,0.008796118908716568,69,0.03970175099456584,0.3860309867357017,0.23353536337960443,0.03619384765625,1.0,0.14587382163953583,0.0,0.04643084977658313,1.0
tanh,50,0.33960013695911856,0.58599853515625,0.6356639656385014,0.4333315450649934,0.5992431640625,0.029558152111194558,0.008616972862458742,58,0.03663546535073169,0.34549352794299987,0.18698678664018756,0.01324462890625,1.0,0.09373140810587482,0.0,0.005893390983881308,1.0
tanh,51,0.33960013695911856,0.58599853515625,0.6858147285741993,0.42272018370056874,0.58984375,0.029858128454764148,0.00881637768398318,67,0.04194786613632242,0.31648833494825873,0.22146130986065432,0.00384521484375,1.0,0.08312004674145018,0.0,-0.023111802010859828,1.0
tanh,52,0.33960013695911856,0.58599853515625,0.8027430243462769,0.43918283812616765,0.5927734375,0.030200483487755676,0.009628674875129334,66,0.03597145580875431,0.34124758579006187,0.21825681493665358,0.00677490234375,1.0,0.09958270116704909,0.0,0.00164744883094331,1.0
tanh,53,0.33960013695911856,0.58599853515625,0.7569525333585143,0.440955714935239,0.5943603515625,0.030112899274277197,0.00953839965684751,75,0.04134000010673818,0.34454308060428257,0.24647092281080255,0.00836181640625,1.0,0.10135557797612044,0.0,0.004942943645164011,1.0
tanh,54,0.33960013695911856,0.58599853515625,0.6731020798530887,0.4647023932409563,0.614013671875,0.029707823172962056,0.008820879221969542,71,0.040272512460265066,0.3751433704808211,0.22573119393830973,0.02801513671875,1.0,0.12510225628183774,0.0,0.03554323352170252,1.0
