est,n,n_rep,theta_true,bias,mc_sd,rmse,mean_se,se_ratio,cov95,mean_len,dgp,quad_full_mean,quad_full_sd,corner_mean,corner_sd,corr_riesz_mean,corr_riesz_sd,quad_S_mean,quad_S_sd,quad_Y_mean,quad_Y_sd
dd_gbr,1000,500,0.20872323163129647,0.0031572311182927193,0.06041460199207883,0.0604366808645866,0.03778840639496903,0.6254846535267021,0.764,0.14812783230301818,affine,0.08941600000000001,0.1520453831626668,-0.002472000000000001,0.04142706385007844,-0.002136537250410807,0.02354389973380052,,,,
plugin,1000,500,0.20872323163129647,0.0041767683687035095,0.05455303903666845,0.054658278366646364,0.052997567497438114,0.9714869864869524,0.916,0.2077466487650976,affine,,,,,,,,,,
ss,1000,500,0.20872323163129647,0.0024707683687035242,0.06806189246864082,0.06803867326992631,0.052997567497438114,0.778667262622127,0.86,0.2077466487650976,affine,0.027024,0.1722945915475965,-0.0013519999999999932,0.04702683427878777,,,-0.004320000000000002,0.07666114702328586,0.032695999999999996,0.1501112332528695
ss_margins,1000,500,0.20872323163129647,0.0023017683687035495,0.0680110128636641,0.06798194622562055,0.052997567497438114,0.7792497900844064,0.858,0.20774664876509763,affine,,,,,,,,,,
cf_gbr,2000,500,0.20872323163129647,0.016092768368703547,0.028420090553940684,0.03263530814576055,0.026666951703169697,0.9383133967344837,0.878,0.10453253065590258,affine,,,,,,,,,,
cf_riesz_gbr,2000,500,0.20872323163129647,0.013978813113651872,0.02907193790206079,0.032231885366837014,0.026666951703169697,0.9172746513495885,0.896,0.1045325306559026,affine,,,,,,,,,,
dd_gbr,2000,500,0.20872323163129647,-0.0023791868863481114,0.04410489809114523,0.04412495985039778,0.026666951703169697,0.6046256279305069,0.778,0.1045325306559026,affine,0.06471200000000002,0.11367783581997604,-0.002167999999999991,0.028302753712942327,-0.002113955255051656,0.012795308455863793,,,,
plugin,2000,500,0.20872323163129647,0.0016907683687035213,0.03393354645701361,0.033941733922659416,0.036240105232403605,1.0679728179402617,0.958,0.1420586032234454,affine,,,,,,,,,,
ss,2000,500,0.20872323163129647,0.0004817683687035057,0.039326009778391964,0.039289617913147015,0.036240105232403605,0.9215301892213855,0.928,0.1420586032234454,affine,0.009104000000000003,0.09093606501185149,0.0019839999999999975,0.02444280354809123,,,0.0033440000000000093,0.045282122357619456,0.003775999999999997,0.07870289776261397
ss_margins,2000,500,0.20872323163129647,0.0007297683687035317,0.03916418910710182,0.039131810626036205,0.036240105232403605,0.9253378164756134,0.934,0.1420586032234454,affine,,,,,,,,,,
