expansion,K,p,spec,n,rep,W_hat,W_true,rfg_type,activation,n_features,alpha
tan2,3,3,tan2_K3_p3,1500,121,1.0371427058993363,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,122,0.9179605988119535,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,123,0.9964715235977611,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,124,1.0677035074901602,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,125,1.1119302285608679,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,126,0.9205164781075112,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,127,1.0792494208372765,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,128,0.9887144593006766,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,129,1.0282298138938013,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,130,1.0739296445050295,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,131,0.9730856027502199,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,132,0.9431848501708876,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,133,1.1602710527620128,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,134,0.9519673832872999,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,135,0.9334253375522008,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,136,0.9991514204528177,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,137,0.8759809302955177,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,138,0.9771783958830277,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,139,0.9313454850967775,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,140,0.8847909576701278,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,141,1.0802635068307267,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,142,0.9876577316459696,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,143,0.9439990515780852,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,144,0.9771507512278921,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,145,1.025542574372829,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,146,1.0854318822953042,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,147,0.9986867097608676,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,148,0.9778710519582245,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,149,1.1054471018797134,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,150,1.121988835786072,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,151,0.8956540360165673,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,152,0.9202762287298842,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,153,1.0170114682908518,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,154,0.9907827390444152,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,155,0.8484943255054113,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,156,1.0518391100700912,1.0,iid_sphere,exp,100,0.001
